symptoms,disease
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
"headache, dizziness, chest pain, blurred vision",Hypertension
"severe headache, nausea, vomiting, sensitivity to light",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"chest pain, shortness of breath, fatigue, sweating",Heart Disease
"nausea, vomiting, diarrhea, stomach pain",Food Poisoning
"fever, dry cough, loss of taste, breathlessness",COVID-19
"fatigue, weakness, pale skin, shortness of breath",Anemia
"severe back pain, painful urination, blood in urine",Kidney Stone
"fever, cough, sore throat, body pain, fatigue",Flu
"frequent urination, increased thirst, fatigue, blurred vision",Diabetes
